weekly_studytime,failures,extra_edu_supp,family_edu_supp,Interested_in_higher_edu,internet_access,freetime_after_school,goout_with_friends,absences,G1,G2,G3
2,1,no,no,no,no,4,3,2,13,12,12
2,0,no,yes,yes,yes,3,2,0,11,11,10
2,0,no,yes,yes,yes,3,4,0,16,15,15
2,0,no,no,yes,no,2,2,0,12,11,12
2,0,no,yes,yes,no,3,4,4,10,10,10
3,0,no,no,yes,yes,2,2,0,13,13,13
1,1,no,yes,yes,yes,2,1,0,7,6,0
1,0,no,yes,yes,yes,2,3,0,11,10,10
2,0,no,yes,yes,yes,2,2,10,14,12,11
2,2,no,no,yes,no,2,2,4,7,7,9
1,0,no,yes,no,yes,3,3,3,14,12,12
3,0,no,no,yes,no,4,3,8,13,11,11
1,0,no,no,yes,yes,5,5,14,6,5,5
3,0,no,no,yes,yes,4,4,0,19,18,19
3,0,no,no,yes,yes,3,2,2,8,8,10
3,2,no,yes,yes,yes,4,3,4,15,14,15
2,0,no,no,yes,yes,4,3,4,8,9,10
2,0,no,no,yes,yes,1,3,0,15,15,15
2,0,no,yes,yes,yes,5,4,17,10,10,10
2,0,no,no,yes,yes,2,4,4,15,14,14
1,0,no,no,yes,yes,4,3,5,7,6,7
2,0,no,no,yes,yes,4,3,2,11,11,10
1,1,no,no,yes,no,3,2,0,6,5,0
1,1,no,no,yes,no,4,3,14,6,5,5
3,0,no,no,yes,no,3,3,2,10,9,10
1,0,no,yes,yes,yes,4,3,7,6,5,6
3,1,no,no,yes,yes,4,2,0,7,5,0
2,0,no,yes,yes,yes,3,4,0,7,9,8
2,1,no,no,yes,no,1,1,0,6,5,0
2,2,no,yes,yes,no,5,4,11,9,9,9
1,0,no,no,yes,yes,4,5,3,14,16,16
1,3,no,no,yes,no,5,3,3,10,8,7
1,0,no,no,yes,yes,4,1,0,11,12,10
1,0,no,no,yes,yes,2,3,5,8,9,9
